no_ste;no_unit_cond;cd_emp;no_int_clg;dte_hre_crea;dte_hre_modif;aut_modif;typ_unit;qte;cd_lot;no_ext_unit_cond;cd_art;ind_pr_art;des_art_a;nrm_art_a;nrm_art_b;cd_art;des_art_a;ind_pr_art;cd_serie;dte_hre_crea;dte_hre_modif;dte_hre_entree;cpt_bnliv;cpt_bn_liv;no_ligne
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651091;01/02/2022 09:24;01/02/2022 09:24;01/02/2022 09:48;;;101
1;2169447;ACF;;01/02/2022 09:36;01/02/2022 09:36;CFO;C;8;OF34627;2169447;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186583;01/02/2022 09:18;01/02/2022 09:18;01/02/2022 09:36;;;104
1;2169447;ACF;;01/02/2022 09:36;01/02/2022 09:36;CFO;C;8;OF34627;2169447;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186582;01/02/2022 09:18;01/02/2022 09:18;01/02/2022 09:36;;;104
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651088;01/02/2022 09:15;01/02/2022 09:15;01/02/2022 09:48;;;101
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651089;01/02/2022 09:15;01/02/2022 09:15;01/02/2022 09:48;;;101
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651079;01/02/2022 09:16;01/02/2022 09:16;01/02/2022 09:48;;;101
1;2169448;ZF;;01/02/2022 09:10;01/02/2022 09:10;CFO;C;8;OF34619;2169448;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651080;01/02/2022 08:55;01/02/2022 08:55;01/02/2022 09:10;;;101
1;2169448;ZF;;01/02/2022 09:10;01/02/2022 09:10;CFO;C;8;OF34619;2169448;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651081;01/02/2022 08:57;01/02/2022 08:57;01/02/2022 09:10;;;101
1;2169448;ZF;;01/02/2022 09:10;01/02/2022 09:10;CFO;C;8;OF34619;2169448;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651082;01/02/2022 09:00;01/02/2022 09:00;01/02/2022 09:10;;;101
1;2169448;ZF;;01/02/2022 09:10;01/02/2022 09:10;CFO;C;8;OF34619;2169448;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651083;01/02/2022 09:02;01/02/2022 09:02;01/02/2022 09:10;;;101
1;2169448;ZF;;01/02/2022 09:10;01/02/2022 09:10;CFO;C;8;OF34619;2169448;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651084;01/02/2022 09:05;01/02/2022 09:05;01/02/2022 09:10;;;101
1;2169448;ZF;;01/02/2022 09:10;01/02/2022 09:10;CFO;C;8;OF34619;2169448;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651085;01/02/2022 09:05;01/02/2022 09:05;01/02/2022 09:10;;;101
1;2169448;ZF;;01/02/2022 09:10;01/02/2022 09:10;CFO;C;8;OF34619;2169448;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651086;01/02/2022 09:08;01/02/2022 09:08;01/02/2022 09:10;;;101
1;2169448;ZF;;01/02/2022 09:10;01/02/2022 09:10;CFO;C;8;OF34619;2169448;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651087;01/02/2022 09:10;01/02/2022 09:10;01/02/2022 09:10;;;101
1;2169446;ZF;;01/02/2022 08:49;01/02/2022 08:49;CFO;C;8;OF34619;2169446;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651074;01/02/2022 08:41;01/02/2022 08:41;01/02/2022 08:49;;;101
1;2169446;ZF;;01/02/2022 08:49;01/02/2022 08:49;CFO;C;8;OF34619;2169446;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651075;01/02/2022 08:43;01/02/2022 08:43;01/02/2022 08:49;;;101
1;2169446;ZF;;01/02/2022 08:49;01/02/2022 08:49;CFO;C;8;OF34619;2169446;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651076;01/02/2022 08:44;01/02/2022 08:44;01/02/2022 08:49;;;101
1;2169446;ZF;;01/02/2022 08:49;01/02/2022 08:49;CFO;C;8;OF34619;2169446;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651077;01/02/2022 08:48;01/02/2022 08:48;01/02/2022 08:49;;;101
1;2169446;ZF;;01/02/2022 08:49;01/02/2022 08:49;CFO;C;8;OF34619;2169446;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651078;01/02/2022 08:49;01/02/2022 08:49;01/02/2022 08:49;;;101
1;2169447;ACF;;01/02/2022 09:36;01/02/2022 09:36;CFO;C;8;OF34627;2169447;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186580;01/02/2022 08:40;01/02/2022 08:40;01/02/2022 09:36;;;104
1;2169447;ACF;;01/02/2022 09:36;01/02/2022 09:36;CFO;C;8;OF34627;2169447;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186579;01/02/2022 08:41;01/02/2022 08:41;01/02/2022 09:36;;;104
